,name,price,qty,category
11034,주_토핑2배참치마요,1000,100,instant
11035,샐_아임닭올리브닭가슴살,4300,100,instant
11036,샐_에그가먼저닭샐러드,3500,100,instant
11037,샐_아임닭단백질샐러드,3800,100,instant
11038,주_주먹왕!참치김볶,1900,100,instant
11039,샌_NEW케이준치킨샌드,2300,100,instant
11040,햄_수원식왕갈비치킨버거,2500,100,instant
11041,샌_대만식연유샌드,2000,100,instant
11042,주_치킨마요삼각김밥,1200,100,instant
11043,도_최애7찬,4000,100,instant
11044,샌_햄에그샌드위치,2300,100,instant
11045,도_백종원7찬매콤불고기,4300,100,instant
11046,도_백종원12찬한판도시락,4000,100,instant
11047,샌_햄참치게맛살샌드위치,2300,100,instant
11048,샌_베이컨에그샌드위치,2500,100,instant
11049,샐_치킨찹찹샐러드,3500,100,instant
11050,샐_퀴노아바질샐러드,3500,100,instant
11051,김_참치불고기반반김밥,2200,100,instant
11052,햄_매콤달콤치즈버거,1500,100,instant
11053,도_고기듬뿍김치제육,3800,100,instant
11054,햄_잇츠빅치즈불고기버거,2300,100,instant
11055,햄_자이언트더블불고기,1900,100,instant
11056,엉덩이탐정_초코카스테라,1300,100,snack
11057,엉덩이탐정_우유카스테라,1300,100,snack
11058,참조은_쫀득롤케익초코,3300,100,snack
11059,PLA_쫀득한마카롱민트초코,3300,100,snack
11060,롯데_쁘띠몽쉘샤인머스캣,3800,100,snack
11061,미성_길쭉이보리과자400g,5200,100,snack
11062,SCD_히츨러소프티바타투,3500,100,snack
11063,미성_LOL스티커색칠북캔디,4000,100,snack
11064,참조은_쫀득롤민트초코,3300,100,snack
11065,피오_오후의티라미수베리,3200,100,snack
11066,코스_꿀미니건빵280g,3500,100,snack
11067,푸드_초코꽈배기페스츄리,1300,100,snack
11068,롯데_초코크림단팥빵,1600,100,snack
11069,롯데_애플모카반반샌드,1800,100,snack
11070,크라운_초코렐라66g,1300,100,snack
11071,미성_오트밀미니바이250g,4000,100,snack
11072,오리온_오그래초코고래30g,800,100,snack
11073,롯데_츄러스쫀득이,1200,100,snack
11074,삼경_하리보콜랄라스,3200,100,snack
11075,이멕_알토이즈페퍼민트,3500,100,snack
11076,이멕_알토이즈스피아민트,3500,100,snack
11077,롯데_크런키오땅볼,1500,100,snack
11078,삼립_크림치즈쁘띠샌드,2900,100,snack
11079,브레드_딸기소라빵,1500,100,snack
11080,브레드_땅콩소라빵,1500,100,snack
11081,코코_브레드머랭젤리초코,1500,100,snack
11082,코코_브레드머랭젤리밀크,1500,100,snack
11083,나무_브레드이발소솜사탕,1500,100,snack
11084,브레드_크래커머랭쿠키,2200,100,snack
11085,브레드_프레첼머랭쿠키,2200,100,snack
11086,롯데_꼬깔콘빼빼로1500,1500,100,snack
11087,삼경_하리보피치스,1800,100,snack
11088,삼경_하리보피코발라,1800,100,snack
11089,롯데_크런키초코바,1000,100,snack
11090,롯데_닭다리모양젤리,1500,100,snack
