,rules,support,confidence,coverage,lift,count
81,{롯데_허쉬아몬드초콜릿} => {매일_멸균흰우유200ml},0.0248808893594494,0.36340206185567,0.0684665607905417,1.20292025965893,282
82,{롯데_허쉬아몬드초콜릿} => {지구인_채식주의샐러드볼},0.0226751367566614,0.33118556701030893,0.0684665607905417,0.9956650441630891,257
83,{롯데_스크류바아이스} => {크라운_새콤달콤블루소다},0.0156167284277395,0.268996960486322,0.05805540850538201,1.43405999536782,177
84,{롯데_스크류바아이스} => {매일_멸균흰우유200ml},0.0167637197811893,0.288753799392097,0.05805540850538201,0.955822302076528,190
85,{롯데_스크류바아이스} => {지구인_채식주의샐러드볼},0.0280571731074643,0.483282674772036,0.05805540850538201,1.45292462489821,318
86,{세척사과} => {돌_후룻바틀파인애플666g},0.0177342509264161,0.270161290322581,0.065643197458973,2.9670620780194996,201
87,{세척사과} => {매일_멸균흰우유200ml},0.0314099170637021,0.478494623655914,0.065643197458973,1.58389546276756,356
88,{세척사과} => {지구인_채식주의샐러드볼},0.0320275277924828,0.487903225806452,0.065643197458973,1.46681569264995,363
89,{이멕스_비첸지밀크크림65g} => {동원_체다치즈3입},0.0158814187400741,0.25139664804469297,0.0631727545438504,1.7416440152436101,180
90,{이멕스_비첸지밀크크림65g} => {선명_하루견과요거트},0.0182636315510852,0.289106145251397,0.0631727545438504,1.8470851467189,207
91,{이멕스_비첸지밀크크림65g} => {매일_멸균흰우유200ml},0.0316746073760367,0.501396648044693,0.0631727545438504,1.65970490915261,359
92,{이멕스_비첸지밀크크림65g} => {지구인_채식주의샐러드볼},0.0364390329980589,0.576815642458101,0.0631727545438504,1.7341189632944598,413
93,{도_브레드쏘야도시락} => {매일_멸균흰우유200ml},0.0183518616551968,0.302765647743814,0.0606140815246162,1.00220381177815,208
94,{도_브레드쏘야도시락} => {지구인_채식주의샐러드볼},0.0303511558143639,0.500727802037846,0.0606140815246162,1.50537106320874,344
95,{푸드_뉴혼당패스트리} => {매일_멸균흰우유200ml},0.0335274395623787,0.43428571428571394,0.0772013410975825,1.4375567423231,380
96,{푸드_뉴혼당패스트리} => {지구인_채식주의샐러드볼},0.0268219516499029,0.34742857142857103,0.0772013410975825,1.04449746115953,304
97,{새롬_썬키스트오렌지3입망} => {선명_하루견과요거트},0.0187930121757544,0.261670761670762,0.0718193047467796,1.6718018110351798,213
98,{새롬_썬키스트오렌지3입망} => {매일_멸균흰우유200ml},0.032909828833598,0.4582309582309579,0.0718193047467796,1.51681941606007,373
99,{새롬_썬키스트오렌지3입망} => {지구인_채식주의샐러드볼},0.03476266101994,0.48402948402948404,0.0718193047467796,1.45516980689394,394
100,{CJ_맛있는소시지160g} => {동원_체다치즈3입},0.0208223045703194,0.250797024442083,0.08302452796894298,1.7374898991604901,236
101,{CJ_맛있는소시지160g} => {크라운_새콤달콤블루소다},0.021263455090877,0.256110520722636,0.08302452796894298,1.3653606029493701,241
102,{CJ_맛있는소시지160g} => {실속_1500모닝롤6입},0.0279689430033527,0.33687566418703496,0.08302452796894298,1.67683301620371,317
103,{CJ_맛있는소시지160g} => {매일_멸균흰우유200ml},0.0312334568554791,0.37619553666312394,0.08302452796894298,1.2452687536623401,354
104,{CJ_맛있는소시지160g} => {지구인_채식주의샐러드볼},0.0342332803952709,0.412327311370882,0.08302452796894298,1.23960682946355,388
105,{CJ_백설정백당1kg} => {선명_하루견과요거트},0.017204870301747,0.255905511811024,0.0672313393329804,1.63496790916919,195
106,{CJ_백설정백당1kg} => {크라운_새콤달콤블루소다},0.0172931004058585,0.257217847769029,0.0672313393329804,1.37126391656358,196
107,{CJ_백설정백당1kg} => {매일_멸균흰우유200ml},0.0253220398800071,0.376640419947507,0.0672313393329804,1.24674139009493,287
108,{CJ_백설정백당1kg} => {지구인_채식주의샐러드볼},0.0359096523733898,0.5341207349081359,0.0672313393329804,1.60576244282462,407
109,{삼립미각_이즈니버터와플} => {크라운_새콤달콤블루소다},0.0185283218634198,0.263488080301129,0.0703193929768837,1.40469139328928,210
110,{삼립미각_이즈니버터와플} => {실속_1500모닝롤6입},0.0177342509264161,0.25219573400250894,0.0703193929768837,1.2553300172088,201
111,{삼립미각_이즈니버터와플} => {매일_멸균흰우유200ml},0.0226751367566614,0.322459222082811,0.0703193929768837,1.06739276375192,257
112,{삼립미각_이즈니버터와플} => {지구인_채식주의샐러드볼},0.0350273513322746,0.49811794228356304,0.0703193929768837,1.49752486945409,397
113,{광동_제주삼다수P500ml} => {크라운_새콤달콤블루소다},0.025145579671784,0.26218951241950306,0.0959061231692253,1.39776854833615,285
114,{광동_제주삼다수P500ml} => {매일_멸균흰우유200ml},0.0381154049761779,0.397424103035879,0.0959061231692254,1.31553878031795,432
115,{광동_제주삼다수P500ml} => {지구인_채식주의샐러드볼},0.0333509793541556,0.34774609015639396,0.0959061231692253,1.04545203868238,378
116,{도_고기듬뿍김치제육} => {실속_1500모닝롤6입},0.0216163755073231,0.268935236004391,0.0803776248455973,1.33865259766085,245
117,{도_고기듬뿍김치제육} => {매일_멸균흰우유200ml},0.0291159343568025,0.362239297475302,0.0803776248455973,1.19907131938816,330
118,{도_고기듬뿍김치제육} => {지구인_채식주의샐러드볼},0.0475560261161108,0.59165751920966,0.0803776248455973,1.7787390776451697,539
119,{HJF_숯향가득삼겹살구이} => {매일_멸균흰우유200ml},0.0302629257102523,0.3641188959660301,0.0831127580730545,1.20529309780344,343
120,{HJF_숯향가득삼겹살구이} => {지구인_채식주의샐러드볼},0.0465854949708841,0.560509554140127,0.0831127580730545,1.6850968930037702,528
121,{돌_후룻바틀파인애플666g} => {선명_하루견과요거트},0.0254102699841186,0.27906976744186,0.0910534674430916,1.78296321543746,288
122,{돌_후룻바틀파인애플666g} => {실속_1500모닝롤6입},0.0227633668607729,0.25,0.0910534674430916,1.24440052700922,258
123,{돌_후룻바틀파인애플666g} => {매일_멸균흰우유200ml},0.0431445209105347,0.473837209302326,0.0910534674430916,1.56847865953054,489
124,{돌_후룻바틀파인애플666g} => {지구인_채식주의샐러드볼},0.0434092112228692,0.47674418604651203,0.0910534674430916,1.43326753439023,492
125,{진진_강릉커피블랙8T} => {매일_멸균흰우유200ml},0.0341450502911593,0.375,0.0910534674430916,1.2413113317757,387
126,{진진_강릉커피블랙8T} => {지구인_채식주의샐러드볼},0.040674077995412,0.446705426356589,0.0910534674430916,1.34296002714206,461
127,{동원_모닝버터200g} => {동원_체다치즈3입},0.0218810658196577,0.264674493062967,0.0826716075524969,1.83363123739344,248
128,{동원_모닝버터200g} => {실속_1500모닝롤6입},0.0219692959237692,0.26574172892209197,0.0826716075524969,1.32275659007597,249
129,{동원_모닝버터200g} => {매일_멸균흰우유200ml},0.0355567319569437,0.43009605122732103,0.0826716075524969,1.42368827237455,403
130,{동원_모닝버터200g} => {지구인_채식주의샐러드볼},0.0463208046585495,0.5602988260405551,0.0826716075524969,1.68446336719991,525
