rules,support,confidence,coverage,lift,count
{12121} => {13473},0.032909828833598,0.458230958230958,0.0718193047467796,1.51681941606007,373
{12121} => {10888},0.03476266101994,0.484029484029484,0.0718193047467796,1.45516980689394,394
{13129} => {12100},0.0208223045703194,0.250797024442083,0.083024527968943,1.73748989916049,236
{13129} => {11745},0.021263455090877,0.256110520722636,0.083024527968943,1.36536060294937,241
{13129} => {11593},0.0279689430033527,0.336875664187035,0.083024527968943,1.67683301620371,317
{13129} => {13473},0.0312334568554791,0.376195536663124,0.083024527968943,1.24526875366234,354
{13129} => {10888},0.0342332803952709,0.412327311370882,0.083024527968943,1.23960682946355,388
{12659} => {13212},0.017204870301747,0.255905511811024,0.0672313393329804,1.63496790916919,195
{12659} => {11745},0.0172931004058585,0.257217847769029,0.0672313393329804,1.37126391656358,196
{12659} => {13473},0.0253220398800071,0.376640419947507,0.0672313393329804,1.24674139009493,287
{12659} => {10888},0.0359096523733898,0.534120734908136,0.0672313393329804,1.60576244282462,407
{11132} => {11745},0.0185283218634198,0.263488080301129,0.0703193929768837,1.40469139328928,210
{11132} => {11593},0.0177342509264161,0.252195734002509,0.0703193929768837,1.2553300172088,201
{11132} => {13473},0.0226751367566614,0.322459222082811,0.0703193929768837,1.06739276375192,257
{11132} => {10888},0.0350273513322746,0.498117942283563,0.0703193929768837,1.49752486945409,397
{13643} => {11745},0.025145579671784,0.262189512419503,0.0959061231692253,1.39776854833615,285
{13643} => {13473},0.0381154049761779,0.397424103035879,0.0959061231692254,1.31553878031795,432
{13643} => {10888},0.0333509793541556,0.347746090156394,0.0959061231692253,1.04545203868238,378
{11053} => {11593},0.0216163755073231,0.268935236004391,0.0803776248455973,1.33865259766085,245
{11053} => {13473},0.0291159343568025,0.362239297475302,0.0803776248455973,1.19907131938816,330
{11053} => {10888},0.0475560261161108,0.59165751920966,0.0803776248455973,1.77873907764517,539
{12389} => {13473},0.0302629257102523,0.36411889596603,0.0831127580730545,1.20529309780344,343
{12389} => {10888},0.0465854949708841,0.560509554140127,0.0831127580730545,1.68509689300377,528
{11496} => {13212},0.0254102699841186,0.27906976744186,0.0910534674430916,1.78296321543746,288
{11496} => {11593},0.0227633668607729,0.25,0.0910534674430916,1.24440052700922,258
{11496} => {13473},0.0431445209105347,0.473837209302326,0.0910534674430916,1.56847865953054,489
{11496} => {10888},0.0434092112228692,0.476744186046512,0.0910534674430916,1.43326753439023,492
{12138} => {13473},0.0341450502911593,0.375,0.0910534674430916,1.2413113317757,387
{12138} => {10888},0.040674077995412,0.446705426356589,0.0910534674430916,1.34296002714206,461
{13090} => {12100},0.0218810658196577,0.264674493062967,0.0826716075524969,1.83363123739344,248
{13090} => {11593},0.0219692959237692,0.265741728922092,0.0826716075524969,1.32275659007597,249
{13090} => {13473},0.0355567319569437,0.430096051227321,0.0826716075524969,1.42368827237455,403
{13090} => {10888},0.0463208046585495,0.560298826040555,0.0826716075524969,1.68446336719991,525
{11091} => {13473},0.0466737250749956,0.459600347523892,0.101552849832363,1.52135231858522,529
{11091} => {10888},0.0440268219516499,0.433536055603823,0.101552849832363,1.30336807804078,499
{12279} => {11593},0.0247044291512264,0.277502477700694,0.0890241750485266,1.38129691798843,280
{12279} => {13473},0.0337038997706017,0.378592666005946,0.0890241750485266,1.25320364384095,382
{12279} => {10888},0.0508205399682372,0.570862239841427,0.0890241750485266,1.71622085579913,576
{12711} => {12100},0.023116287277219,0.255111976630964,0.090612316922534,1.76738333932478,262
{12711} => {11593},0.0241750485265573,0.266796494644596,0.090612316922534,1.32800679415979,274
{12711} => {13473},0.0391741662255161,0.432327166504382,0.090612316922534,1.43107362884365,444
{12711} => {10888},0.0507323098641256,0.559883154819864,0.090612316922534,1.683213707355,575
{13319} => {13212},0.0264690312334569,0.273473108477666,0.0967884242103406,1.74720643263014,300
{13319} => {11745},0.0250573495676725,0.258887876025524,0.0967884242103406,1.3801670681436,284
{13319} => {13473},0.0369684136227281,0.381950774840474,0.0967884242103406,1.26431953330664,419
{13319} => {10888},0.0473795659078878,0.489516864175023,0.0967884242103406,1.47166688025456,537
{12100} => {13212},0.0397035468501853,0.275061124694377,0.144344450326451,1.75735219125483,450
{13212} => {12100},0.0397035468501853,0.253664036076663,0.156520204693842,1.75735219125483,450
{12100} => {11593},0.0407623080995236,0.28239608801956,0.144344450326451,1.40565536302753,462
{12100} => {13473},0.0602611611081701,0.417481662591687,0.144344450326451,1.38193258288966,683
{12100} => {10888},0.0729662961002294,0.505501222493888,0.144344450326451,1.5197217123994,827
{13212} => {11593},0.0410269984118581,0.262119503945885,0.156520204693842,1.30472659539862,465
{13212} => {13473},0.0685547908946533,0.437993235625705,0.156520204693842,1.44982924432878,777
{13212} => {10888},0.0802893947414858,0.512965050732807,0.156520204693842,1.54216071220309,910
{11745} => {13473},0.0548791247573672,0.292568203198495,0.187577201341098,0.968448602526793,622
